Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,0,34.97778,0.7740727,1.118437,0.3347182,222.4289
,,0,35.42222,1.075618,1.130985,0.247751,245.962
,,0,35.86667,1.402954,1.136846,0.2236327,256.339
,,0,36.31111,1.556454,1.140889,0.2056068,252.2036
,,0,36.75556,1.862203,1.14604,0.1610056,252.603
,,0,37.2,2.124529,1.162277,0.1094927,236.583
,,0,37.64444,2.2099,1.199888,0.1170611,148.2771
,,0,38.08889,2.163036,1.205459,0.1295619,197.4482
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,2,19.76667,0.2598146,1.12139,-0.2894802,212.8472
,,2,20.21111,0.2604662,1.124439,-0.285905,208.6388
,,2,20.65556,0.2752038,1.14517,-0.2675236,171.2396
,,2,21.1,0.3154827,1.139254,-0.2267251,135.8957
,,2,21.54445,0.31348,1.109619,-0.2743279,153.2095
,,2,21.98889,0.4648253,1.137567,-0.3550886,120.726
,,2,22.43333,0.6421555,0.9616132,-0.5351665,102.8153
,,2,22.87778,0.6668663,0.8615882,-0.6011049,91.4156
,,2,23.32222,0.6528575,0.8335093,-0.6083621,92.1974
,,2,23.76667,0.6642672,0.815104,-0.6094445,100.7395
,,2,24.21111,0.6675273,0.8140503,-0.6089665,103.2109
,,2,24.65556,0.6639229,0.8077031,-0.6081909,103.9223
,,2,25.1,0.6598575,0.7976475,-0.6050304,104.985
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,1,17.83333,0.3692533,1.123362,-0.1639057,202.1868
,,1,18.27778,0.4243665,1.190964,-0.2513198,189.6137
,,1,18.72222,0.4875126,1.198865,-0.2836742,198.4142
,,1,19.16667,0.4963527,1.197126,-0.2786251,209.911
,,1,19.61111,0.5001963,1.195662,-0.2715905,210.0031
,,1,20.05556,0.5005752,1.194785,-0.2681538,209.8857
,,1,20.5,0.4985324,1.194495,-0.2683672,210.2831
,,1,20.94444,0.4978054,1.194334,-0.2662498,210.2615
,,1,21.38889,0.4950669,1.194114,-0.2645394,210.3339
,,1,21.83333,0.4931789,1.193784,-0.2637066,210.5395
,,1,22.27778,0.491555,1.193576,-0.2625515,210.3819
,,1,22.72222,0.4898495,1.193408,-0.2614225,210.2429
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,1,15.46667,0.4362102,1.141189,-0.06143582,191.6949
,,1,15.91111,0.4162436,1.129203,-0.08140397,197.9062
,,1,16.35556,0.5074357,1.191904,-0.1649436,204.7198
,,1,16.8,0.5257123,1.18494,-0.1608015,220.4919
,,1,17.24445,0.5585384,1.162842,-0.1260388,231.6615
,,1,17.68889,0.5409119,1.154489,-0.09952927,235.2816
,,1,18.13333,0.5392205,1.154585,-0.102164,235.8175
,,1,18.57778,0.5400059,1.154188,-0.1017542,235.9007
,,1,19.02222,0.5399754,1.154132,-0.1015077,236.0034
,,1,19.46667,0.5393691,1.154061,-0.1010778,235.7892
,,1,19.91111,0.5394865,1.154152,-0.1012387,235.9442
,,1,20.35556,0.5396355,1.154146,-0.1015782,236.0572
,,1,20.8,0.5384414,1.154117,-0.1026428,236.1867
,,1,21.24445,0.5368371,1.154127,-0.1030548,236.3361
,,1,21.68889,0.538146,1.15398,-0.1023629,235.9264
,,1,22.13333,0.5394589,1.154011,-0.1019658,236.0038
,,1,22.57778,0.545743,1.153818,-0.1022038,237.5159
,,1,23.02222,0.5553435,1.153364,-0.09792078,236.6215
,,1,23.46667,0.5562027,1.153446,-0.09833598,236.8756
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,2,13.24444,1.059024,1.113476,-1.101735,209.2107
,,2,13.68889,1.100891,1.178371,-1.191208,207.0627
,,2,14.13333,1.252314,1.13773,-1.135562,172.0011
,,2,14.57778,1.456733,1.055864,-1.242538,125.651
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,0,6.4,0.3239447,1.138256,-0.4960222,198.4341
,,0,6.844445,0.3387142,1.124228,-0.4597141,263.3482
,,0,7.288889,0.3613964,1.128362,-0.4446188,265.2441
,,0,7.733334,0.4113863,1.175069,-0.4469394,150.2463
,,0,8.177778,0.4064945,1.191868,-0.3563053,86.26373
,,0,8.622223,0.3965085,1.190026,-0.2725512,45.52436
,,0,9.066667,0.3310007,1.196254,-0.2469945,13.93746
,,0,9.511111,0.3020717,1.22435,-0.2885779,8.612162
,,0,9.955556,0.291613,1.228476,-0.3393481,26.5285
,,0,10.4,0.2730985,1.231884,-0.2959151,30.851
,,0,10.84444,0.2526689,1.225117,-0.3605652,19.32342
,,0,11.28889,0.164052,1.213067,-0.4135805,1.319906
,,0,11.73333,0.190571,1.215762,-0.4300005,10.86374
,,0,12.17778,0.2244408,1.214148,-0.4202963,11.34027
,,0,12.62222,0.08633983,1.213146,-0.5795467,7.326664
,,0,13.06667,-0.007102787,1.209553,-0.7110618,11.92238
,,0,13.51111,0.0005270839,1.209094,-0.6977898,6.707896
,,0,13.95556,-0.05548948,1.20549,-0.7806466,12.71925
,,0,14.4,-0.05267233,1.20136,-0.7727358,12.70688
,,0,14.84445,-0.03581017,1.201625,-0.7707155,15.46354
,,0,15.28889,-0.05460078,1.198358,-0.7622115,6.138497
,,0,15.73333,-0.06242836,1.199998,-0.7648166,3.207817
,,0,16.17778,-0.05799198,1.199757,-0.7597032,6.384753
,,0,16.62222,-0.02202058,1.205271,-0.7626768,16.3648
,,0,17.06667,0.0170877,1.202352,-0.7660632,28.49549
,,0,17.51111,-0.002216697,1.203429,-0.7502733,19.2421
,,0,17.95556,-0.02524728,1.201998,-0.7408908,15.9741
,,0,18.4,-0.04337084,1.192235,-0.7398629,19.06938
,,0,18.84444,-0.07821852,1.180863,-0.7171893,13.37784
,,0,19.28889,-0.08008075,1.182597,-0.7255938,13.51616
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
,,0,8.611112,0.3955305,1.093091,-0.07750738,195.9296
,,0,9.055555,0.3665509,1.091154,-0.03428423,251.2457
,,0,9.5,0.3325806,1.093496,0.01783013,270.743
,,0,9.944445,0.3765861,1.123477,-0.05619407,155.4913
,,0,10.38889,0.39951,1.125711,0.009758115,92.5884
,,0,10.83333,0.3950791,1.118115,0.01614833,57.33389
,,0,11.27778,0.2988678,1.121583,-0.01054901,39.24613
,,0,11.72222,-0.02382863,1.12251,-0.1961305,34.61703
,,0,12.16667,-0.2984618,1.123397,-0.356606,44.67857
,,0,12.61111,-0.3328929,1.117879,-0.3979847,50.44966
,,0,13.05556,-0.3190153,1.11322,-0.3905593,56.19741
,,0,13.5,-0.3083595,1.110483,-0.3972059,63.80803
,,0,13.94444,-0.299492,1.109471,-0.3958103,65.77982
,,0,14.38889,-0.2834324,1.107243,-0.3866717,72.86037
,,0,14.83333,-0.2660316,1.103097,-0.381558,80.40913
,,0,15.27778,-0.2542714,1.097572,-0.3810328,85.89263
,,0,15.72222,-0.2603363,1.095904,-0.3831545,84.6274
,,0,16.16667,-0.2596576,1.091818,-0.3824721,83.89397
,,0,16.61111,-0.2624561,1.087712,-0.3869432,86.68562
,,0,17.05556,-0.2584255,1.089296,-0.3886338,87.71384
,,0,17.5,-0.2597235,1.089784,-0.3873926,87.91001
,,0,17.94444,-0.2603105,1.090166,-0.3870992,87.93177
,,0,18.38889,-0.261264,1.089949,-0.3868863,87.76952
,,0,18.83333,-0.2607259,1.090052,-0.3869717,87.72936
,,0,19.27778,-0.2612325,1.089845,-0.3869619,87.6578
,,0,19.72222,-0.2617046,1.090676,-0.3869246,87.84814
,,0,20.16667,-0.2625855,1.087605,-0.3876756,88.14251
,,0,20.61111,-0.2607204,1.085916,-0.3889802,88.57851
,,0,21.05556,-0.2538117,1.084231,-0.3894448,89.16198
,,0,21.5,-0.2517074,1.083155,-0.3888713,89.04217
,,0,21.94444,-0.2523423,1.083886,-0.386869,89.14774
,,0,22.38889,-0.2527775,1.083927,-0.3864182,89.11519
,,0,22.83333,-0.2545359,1.084634,-0.3887977,90.76453
,,0,23.27778,-0.2575263,1.085515,-0.3941873,94.83027
,,0,23.72222,-0.2198991,1.088513,-0.3791438,86.72318
,,0,24.16667,0.05320781,1.089019,-0.3518376,83.53538
,,0,24.61111,0.3627485,1.08651,-0.3151186,82.78925
,,0,25.05556,0.6800438,1.084338,-0.2793964,82.62887
,,0,25.5,0.9730524,1.086827,-0.230103,82.689
,,0,25.94444,1.243292,1.086807,-0.07598156,82.48409
,,0,26.38889,1.480106,1.08755,0.1761377,82.79234
,,0,26.83333,1.681124,1.091841,0.4551292,84.78847
,,0,27.27778,1.685213,1.096019,0.4646243,89.46971
,,0,27.72222,1.68381,1.103611,0.4357927,120.5815
,,0,28.16667,1.647653,1.099477,0.3964193,194.9874
,,0,28.61111,1.621681,1.095025,0.4299341,243.2648
,,0,29.05556,1.629925,1.103829,0.4332962,250.4625
,,0,29.5,1.664786,1.107338,0.4382491,250.7397
,,0,29.94444,1.660205,1.10221,0.4303875,247.6513
,,0,30.38889,1.647403,1.101233,0.4400027,250.1831
